categoria,percentagem
Open Source,0.46
Mobile,0.23
Java,22.27
Software Engineering,3.71
Internet,9.51
Web Development,3.94
Miscellaneous,0.46
Microsoft .NET,7.89
Microsoft,1.86
Next Generation Databases,0.23
PowerBuilder,1.62
Client-Server,2.55
Computer Graphics,1.39
Object-Oriented Programming,0.93
S,0.23
Networking,1.62
Theory,1.62
Programming,2.78
Python,1.39
Mobile Technology,1.39
Business,2.78
P,0.23
XML,0.93
Perl,1.39
java,0.23
Microsoft/.NET,0.23
Miscella,0.23
Object-Technology Programming,0.23
,0.46
internet,0.23
.NET,0.23
Algorithmic Art,0.23
PHP,0.23
SOA,0.23
Computer Graph,0.23
Client Server,0.23
In Action,0.23
Software Development,0.23
